PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
583,1,3,"Smith, Miss. Anna",male,18.2,0,0,SOTON/OQ 280564,4.62,,S
404,1,1,"Davis, Rev. Anna",Male,37.1,0,0,SOTON/OQ 738943,31.88,,S
262,1,3,"Moore, Miss. Charles",Male,55.5,0,0,SOTON/OQ 226641,54.04,,S
366,1,2,"Wilson, Miss. Charles",male,13.8,2,0,SOTON/OQ 846109,4.81,,S
685,0,2,"Brown, Dr. Alice",M,37.0,0,0,SOTON/OQ 294817,15.07,,
587,0,3,"Taylor, Miss. Emily",MALE,,1,0,117905,24.77,,S
815,0,3,"Johnson, Mr. Alice",Male,,0,1,CA 880272,42.95,,C
531,1,2,"Johnson, Col. Emily",MALE,21.8,1,0,A/5 142425,6.99,D11,S
506,0,1,"Anderson, Mr. Rose",F,35.8,0,0,PC 88380,0.0,C63,C
544,0,2,"Davis, Rev. William",Male,,0,1,CA 748210,57.09,,S
853,1,3,"Smith, Mr. Charles",male,21.9,0,0,CA 400447,20.02,C96,S
710,0,2,"Williams, Mr. Rose",male,22.0,0,0,CA 634957,97.4,,S
827,0,3,"Davis, Col. John",female,9.3,1,0,PC 367583,263.0,,S
736,1,2,"Brown, Col. Charles",female,39.2,0,0,PC 422236,14.57,,S
64,0,2,"Taylor, Mr. Edith",male,22.8,0,0,348733,6.63,,C
327,1,2,"Thomas, Dr. George",MALE,,0,0,670503,1.0,,S
319,0,2,"Brown, Mrs. William",M,36.4,0,0,A/5 630410,18.62,,S
61,0,2,"Williams, Mr. Thomas",M,25.0,0,0,SOTON/OQ 906995,27.45,C128,S
890,0,3,"Wilson, Miss. William",M,33.3,0,0,PC 987079,32.66,,C
328,0,3,"Johnson, Col. William",male,13.0,0,0,PC 45749,9.12,,S
353,0,3,"Taylor, Mr. Emily",F,29.3,1,2,CA 642876,30.3,C89,C
448,1,2,"Miller, Dr. George",M,33.0,0,0,SOTON/OQ 322322,6.45,,Q
479,1,2,"Smith, Rev. George",male,36.8,0,0,CA 551583,1.54,,S
238,0,3,"Taylor, Mrs. Charles",Male,,1,0,SOTON/OQ 975309,44.6,,Q
159,0,1,"Taylor, Mrs. Mary",Female,26.5,1,0,PC 614386,40.58,,C
805,1,3,"Davis, Mrs. Anna",male,12.1,0,1,CA 948721,64.52,,S
265,1,3,"Anderson, Rev. Emily",female,64.5,0,2,941558,27.52,,C
25,1,1,"Johnson, Col. Anna",male,,0,0,PC 302697,77.17,,S
54,0,1,"Wilson, Miss. John",male,,0,0,SOTON/OQ 161755,6.76,F42,S
149,1,2,"Brown, Col. James",Female,,0,0,SOTON/OQ 131144,$3.87,,S
397,1,3,"Taylor, Mr. John",M,22.1,1,0,542613,61.06,,C
624,0,3,"Williams, Mr. James",Female,,0,0,706706,40.09,,S
300,1,2,"Johnson, Miss. James",MALE,,2,0,CA 626420,18.68,E37,S
882,1,1,"Wilson, Dr. Rose",male,16.6,1,0,PC 464823,13.68,B98,S
668,0,3,"Davis, Dr. Charles",M,19.8,0,0,SOTON/OQ 549791,117.48,,S
868,1,3,"Jones, Col. Emily",F,59.7,0,0,CA 12313,44.9,,S
388,1,3,"Thomas, Col. Charles",Male,41.4,0,0,SOTON/OQ 120736,0.95,,C
205,1,3,"Williams, Mr. Thomas",female,49.7,0,0,A/5 694359,3.74,,S
325,1,3,"Moore, Col. Edith",male,13.6,0,0,CA 1543,2.0,,C
109,1,1,"Miller, Dr. George",male,22.9,0,0,PC 428205,25.33,,S
684,0,1,"Taylor, Mrs. George",M,34.7,0,0,832698,8.4,G66,S
468,1,3,"Jones, Mrs. Alice",Male,9.2,0,2,SOTON/OQ 366011,7.86,F63,S
514,0,1,"Johnson, Dr. George",female,58.6,0,0,466232,27.07,,Q
456,1,3,"Miller, Dr. Mary",male,,1,0,PC 73623,57.54,,S
643,0,1,"Brown, Mrs. Alice",F,37.7,0,0,A/5 496632,9.1,,S
100,1,2,"Wilson, Mrs. Emily",male,25.3,0,0,PC 445958,20.04,,C
806,0,1,"Taylor, Mr. John",MALE,,2,2,343702,65.16,,S
493,1,1,"Johnson, Dr. Mary",male,31.6,0,0,152590,98.96,,S
855,0,2,"Davis, Miss. Alice",MALE,43.8,0,0,259088,17.55,,S
169,0,1,"Smith, Miss. Anna",M,35.3,0,2,PC 92221,53.68,,S
657,0,2,"Smith, Rev. Emily",MALE,22.4,0,0,SOTON/OQ 121781,7.82,,S
598,1,3,"Jones, Mrs. John",female,,1,0,A/5 88050,17.66,,S
594,1,1,"Taylor, Mrs. Charles",M,,0,2,PC 661633,67.52,,Q
14,0,2,"Brown, Mr. John",MALE,33.2,0,0,A/5 625304,5.47,,S
786,1,2,"Thomas, Col. William",MALE,40.6,1,0,PC 725009,69.68,,Q
837,0,2,"Miller, Col. Mary",Male,23.3,0,0,A/5 924949,38.05,D145,Q
111,0,3,"Moore, Col. Mary",M,32.9,0,1,PC 768069,37.49,,S
272,0,3,"Brown, Col. Charles",MALE,16.1,0,0,SOTON/OQ 355005,18.94,G19,Q
533,1,2,"Davis, Mrs. Rose",female,13.5,0,0,CA 238159,29.04,,S
27,1,3,"Thomas, Mrs. Rose",F,35.1,0,0,SOTON/OQ 867256,2.12,G20,S
661,1,1,"Jones, Miss. Mary",male,38.1,0,0,CA 876027,80.91,F142,S
47,0,3,"Anderson, Mr. Rose",MALE,21.7,0,0,PC 821721,11.05,,C
833,0,3,"Jones, Mr. Edith",Male,27.1,0,1,PC 610457,55.85,,S
467,0,3,"Davis, Rev. John",female,41.6,1,1,A/5 75851,52.12,,S
135,1,3,"Moore, Dr. Thomas",Male,43.6,0,0,SOTON/OQ 412098,23.93,,S
715,1,3,"Thomas, Miss. Charles",Male,28.7,0,0,PC 931133,17.91,A38,S
217,1,1,"Brown, Dr. William",M,53.7,0,0,CA 115722,39.58,,S
474,1,3,"Johnson, Mrs. Alice",male,36.4,0,1,A/5 955705,45.04,,S
223,1,2,"Brown, Mrs. Thomas",female,36.3,0,3,SOTON/OQ 486432,33.65,,C
58,1,3,"Miller, Col. Emily",male,39.2,0,1,SOTON/OQ 260628,46.62,A61,C
141,0,3,"Jones, Dr. Edith",female,39.5,0,0,A/5 201203,81.63,F118,S
172,1,1,"Brown, Mrs. Mary",M,40.3,1,0,A/5 104119,3.74,,S
110,0,2,"Davis, Dr. Anna",MALE,33.6,0,0,41307,$85.55,,S
284,1,2,"Williams, Mrs. Thomas",MALE,24.6,0,1,956267,94.8,D96,S
831,0,2,"Davis, Rev. Alice",male,43.6,0,0,PC 429834,54.35,,S
62,0,3,"Davis, Mr. James",M,63.6,0,0,687328,39.08,,S
854,0,3,"Moore, Miss. Alice",male,29.9,1,0,PC 680621,51.98,,S
713,1,3,"Miller, Rev. John",female,,1,0,SOTON/OQ 973200,7.25,,C
483,0,3,"Miller, Dr. Mary",Male,36.3,0,0,19067,61.68,E72,S
829,0,3,"Brown, Mrs. Thomas",male,43.2,0,0,SOTON/OQ 500892,20.34,,S
160,0,1,"Davis, Mr. Rose",M,44.7,0,0,A/5 358070,13.95,,C
458,1,3,"Brown, Rev. Mary",F,37.4,0,0,PC 779458,2.32,A146,S
95,0,3,"Moore, Mr. Alice",M,,2,0,PC 708767,12.05,,C
819,1,3,"Williams, Mrs. Emily",MALE,,1,0,A/5 757532,156.65,A67,S
309,0,1,"Anderson, Mrs. Mary",F,25.8,2,0,SOTON/OQ 29723,45.32,,S
575,1,3,"Brown, Mrs. John",male,57.2,1,0,PC 372608,44.71,,S
454,1,1,"Miller, Miss. James",MALE,33.6,1,0,A/5 85440,34.36,C41,S
692,1,2,"Anderson, Rev. Emily",F,29.6,1,0,SOTON/OQ 483700,7.04,F83,Q
750,0,3,"Davis, Dr. Charles",M,,1,0,SOTON/OQ 393505,15.47,,C
35,1,2,"Smith, Mrs. George",M,,5,0,A/5 712670,64.09,D64,S
554,0,1,"Thomas, Dr. James",female,,0,0,A/5 65521,26.35,,S
129,1,3,"Wilson, Dr. James",male,31.4,0,0,A/5 321652,23.43,C82,S
99,1,3,"Johnson, Miss. John",MALE,7.0,0,0,CA 480018,17.07,C43,S
438,0,2,"Moore, Dr. Charles",male,33.7,1,3,CA 860585,$8.23,,S
686,1,2,"Taylor, Rev. Mary",M,46.9,0,0,438785,12.54,,S
210,1,3,"Jones, Rev. William",M,,1,0,CA 105663,64.54,,S
609,0,3,"Davis, Rev. George",male,34.6,1,0,A/5 210131,7.62,,S
409,1,3,"Brown, Rev. Rose",Male,26.3,0,0,CA 995609,16.92,,Q
677,0,3,"Thomas, Miss. Charles",FEMALE,21.5,3,0,121599,5.39,C85,S
376,0,1,"Williams, Miss. George",female,,0,0,PC 904129,22.51,C99,Q
453,0,3,"Smith, Miss. Charles",F,27.0,0,0,SOTON/OQ 61583,9.01,C132,S
147,0,3,"Williams, Col. Charles",Male,17.4,4,1,CA 987870,2.08,,C
516,1,3,"Smith, Dr. Charles",MALE,46.2,0,1,SOTON/OQ 645818,29.88,,S
110,0,2,"Davis, Dr. Anna",MALE,33.6,0,0,41307,$85.55,,S
233,1,3,"Williams, Mr. Thomas",MALE,,1,0,PC 350109,9.5,,C
278,1,1,"Williams, Col. Charles",F,14.1,0,1,CA 407151,0.31,,S
871,1,2,"Williams, Dr. James",M,44.6,0,2,SOTON/OQ 841123,46.2,,C
596,1,1,"Wilson, Miss. Charles",M,23.4,0,0,A/5 41060,8.25,,Q
725,1,1,"Jones, Mr. Emily",female,12.2,0,0,A/5 909427,10.87,,S
180,0,1,"Miller, Mrs. Rose",male,,0,0,757203,0.57,,S
